model,depth,n_contexts,n_cell_records,heldout_interaction_pair_auprc_lift_scaled,heldout_tissue_pair_auprc_lift_scaled,inhibitory_pair_macro_f1,coexpressive_pair_macro_f1,mechanism_pairing_score
base_scConcept,1,95,54722,0.8898557011245654,0.5633537459409262,0.9058251037641334,0.9379288049139696,0.8194335285569582
base_scConcept,2,95,54722,0.8841063815173509,0.5742078918856601,0.8865248226950355,0.9722222222222224,0.8204537455095801
base_scConcept,3,95,54722,0.8998067568958458,0.5856555020684789,0.9033915724563206,0.9177964892250606,0.8248636069285049
base_scConcept,4,95,54722,0.9175115984342412,0.6430681496295275,0.9160714285714286,0.9305555555555556,0.8504972873355569
base_scConcept,5,95,54722,0.9428830154770234,0.6444560044169984,0.9160714285714286,0.9510471680932436,0.8627979888780514
base_scConcept,6,95,54722,0.9459943152065408,0.72185096220055,0.9096921996822228,0.9594366197183098,0.882899293750729
base_scConcept,7,95,54722,0.9359601791661972,0.7383953822628395,0.9007092198581561,0.9436537050623623,0.8789102689977722
base_scConcept,8,95,54722,0.932754410736171,0.6857088442768327,0.9084472747705564,0.9251461988304092,0.8637750033440685
base_scConcept,9,95,54722,0.9205351283410664,0.6961960875497393,0.9020833333333332,0.9444444444444444,0.863423816806808
base_scConcept,10,95,54722,0.8947464378136776,0.6270196447193512,0.9309939803259432,0.9323943661971832,0.8425238144256882
base_scConcept,11,95,54722,0.8898234877777776,0.6683060788925854,0.9300595238095238,0.939544484483784,0.8519612940703171
base_scConcept,12,95,54722,0.87059418598805,0.6742061716421557,0.904318208511138,0.9379288049139696,0.8400283808712363
base_scConcept,13,95,54722,0.8841532893687039,0.716046374025876,0.8992651561543172,0.9583333333333331,0.8570315338240946
base_scConcept,14,95,54722,0.880685756014907,0.7276355185650115,0.8943622401198725,0.9517224038219764,0.8564978148497349
base_scConcept,15,95,54722,0.9140610739831146,0.6950678562251416,0.9366173440719237,0.9241352060059628,0.8664629568692508
base_scConcept,16,95,54722,0.9028709301154504,0.7151295454164324,0.9123543123543124,0.937060644691313,0.8634348866867908
sCITEconcept,1,95,54722,0.9310553484569788,0.6135160050320587,0.9182608695652176,0.9419501133786848,0.8501061076160643
sCITEconcept,2,95,54722,0.913250359339069,0.5822596668710449,0.9160714285714286,0.9517224038219764,0.8369787602025889
sCITEconcept,3,95,54722,0.9188586567862236,0.5409593338542754,0.8895903685215094,0.9583333333333331,0.8229879554691244
sCITEconcept,4,95,54722,0.8593287751518321,0.6335274061178893,0.8928530719252251,0.9523657628920787,0.8252150552477316
sCITEconcept,5,95,54722,0.9619424842402786,0.6468997992664839,0.9007092198581561,0.9718268525311812,0.8693561521449347
sCITEconcept,6,95,54722,0.9452553791443772,0.7135397271191274,0.8848744641763625,0.9650336914951738,0.8751979842486806
sCITEconcept,7,95,54722,0.93705298949718,0.6768861632470435,0.9007092198581561,0.9510471680932436,0.8650244673142995
sCITEconcept,8,95,54722,0.9088990566084748,0.6395972843125752,0.9108777303723152,0.9444444444444444,0.8474000901508554
sCITEconcept,9,95,54722,0.9457534182628926,0.6635459676004479,0.9318840579710144,0.937060644691313,0.870430299488575
sCITEconcept,10,95,54722,0.9393153899723174,0.7183381142923826,0.9309939803259432,0.9241352060059628,0.879713691045787
sCITEconcept,11,95,54722,0.9378031841930756,0.6663601185052117,0.9192786603692572,0.9583333333333331,0.8683908091861937
sCITEconcept,12,95,54722,0.9426329164920012,0.7080199911129119,0.9507023787226072,0.9583333333333331,0.8883521132310801
sCITEconcept,13,95,54722,0.9331575477688984,0.793317088889686,0.9309939803259432,0.9645272142777964,0.9023619911646912
sCITEconcept,14,95,54722,0.9481403326337569,0.8057840283131723,0.8923715471590096,0.9571173317450864,0.8999556100516233
sCITEconcept,15,95,54722,0.9345725085679882,0.7511654680475166,0.8984698469846985,0.937060644691313,0.8800683034605465
sCITEconcept,16,95,54722,0.9091084150205078,0.714388790072501,0.8957986919410266,0.9103416070979562,0.857286056825253
