model,pillar,metric,estimate,n_units
base_scConcept,state_transfer,leave_dataset_cell_type_macro_f1,0.4987028632376324,16384
base_scConcept,state_transfer,leave_platform_cell_type_macro_f1,0.4547837623941765,16384
base_scConcept,state_transfer,masked_inhibitory_program_spearman_unit,0.5967979701783558,3318
base_scConcept,state_transfer,cell_type_tissue_map_at50,0.28796630859375,16384
base_scConcept,mechanism_pairing,heldout_interaction_pair_auprc_lift_scaled,0.7698594880536554,95
base_scConcept,mechanism_pairing,heldout_tissue_pair_auprc_lift_scaled,0.6026251785574483,95
base_scConcept,mechanism_pairing,inhibitory_pair_macro_f1,0.8263311532350441,95
base_scConcept,mechanism_pairing,coexpressive_pair_macro_f1,0.857097288676236,95
base_scConcept,perturbation_observability,mapped_target_ko_retrieval_map,0.838837372438331,47
base_scConcept,perturbation_observability,cross_context_delta_direction_agreement_unit,0.7988855570318207,63
base_scConcept,perturbation_observability,ko_vs_reencode_noise_auc,1.0,4514
base_scConcept,perturbation_observability,post_ko_identity_retention_at10,1.0,2257
base_scConcept,perturbation_observability,target_masked_response_program_spearman_unit,0.6001399776035834,95
base_scConcept,native_panel_invariance,paired_view_mrr,0.0818870062051461,2048
base_scConcept,native_panel_invariance,paired_view_recall_at50,0.38818359375,2048
base_scConcept,native_panel_invariance,cross_panel_cell_type_macro_f1,0.4547837623941765,16384
base_scConcept,native_panel_invariance,full_to_panel_biology_retention,0.6274279356002808,2048
base_scConcept,coverage,target_mappable_fraction,1.0,60
base_scConcept,coverage,nonzero_intervention_fraction,1.0,95
base_scConcept,coverage,finite_embedding_fraction,1.0,25124
sCITEconcept,state_transfer,leave_dataset_cell_type_macro_f1,0.507890887025338,16384
sCITEconcept,state_transfer,leave_platform_cell_type_macro_f1,0.4771252429371011,16384
sCITEconcept,state_transfer,masked_inhibitory_program_spearman_unit,0.5926712998557507,3318
sCITEconcept,state_transfer,cell_type_tissue_map_at50,0.321568603515625,16384
sCITEconcept,mechanism_pairing,heldout_interaction_pair_auprc_lift_scaled,0.8033925859242743,95
sCITEconcept,mechanism_pairing,heldout_tissue_pair_auprc_lift_scaled,0.7036521724190867,95
sCITEconcept,mechanism_pairing,inhibitory_pair_macro_f1,0.8181315644002212,95
sCITEconcept,mechanism_pairing,coexpressive_pair_macro_f1,0.8355929784501213,95
sCITEconcept,perturbation_observability,mapped_target_ko_retrieval_map,0.8561408831746755,47
sCITEconcept,perturbation_observability,cross_context_delta_direction_agreement_unit,0.8398188105414783,63
sCITEconcept,perturbation_observability,ko_vs_reencode_noise_auc,1.0,4514
sCITEconcept,perturbation_observability,post_ko_identity_retention_at10,1.0,2257
sCITEconcept,perturbation_observability,target_masked_response_program_spearman_unit,0.6006298992161254,95
sCITEconcept,native_panel_invariance,paired_view_mrr,0.0560991117394895,2048
sCITEconcept,native_panel_invariance,paired_view_recall_at50,0.282470703125,2048
sCITEconcept,native_panel_invariance,cross_panel_cell_type_macro_f1,0.4771252429371011,16384
sCITEconcept,native_panel_invariance,full_to_panel_biology_retention,0.6932903528213501,2048
sCITEconcept,coverage,target_mappable_fraction,1.0,60
sCITEconcept,coverage,nonzero_intervention_fraction,1.0,95
sCITEconcept,coverage,finite_embedding_fraction,1.0,25124
